ID,Categoria,Produto,Preco,Custo,Marca,Data,Estoque,Status,Pagamento_Comum,Avaliacao,Qtd_Comprada
1,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2025-10-31,81,Esgotado,Boleto,4.6,1
2,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-04-30,30,Esgotado,Boleto,3.4,2
3,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2024-12-16,29,Em Trânsito,Cartão de Crédito,4.1,1
4,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2025-06-30,21,Em Trânsito,Transferência Bancária,3.7,1
5,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-12-01,79,Disponível,Pix,3.8,2
6,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2024-04-22,27,Em Trânsito,Boleto,4.7,1
7,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-02-16,2,Disponível,Boleto,4.6,1
8,Celulares,Samsung Galaxy S22,"1.752,45","1555,68",Samsung,2025-02-05,100,Esgotado,Pix,3.1,2
9,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-06-19,99,Em Trânsito,Cartão de Crédito,3.7,2
10,Celulares,iPhone 13,"6.013,10","5336,24",Apple,2024-02-17,42,Esgotado,Transferência Bancária,3.2,2
11,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2025-05-23,40,Disponível,Pix,3.7,1
12,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2025-05-07,36,Disponível,Cartão de Crédito,4.7,1
13,Mouse,Corsair Harpoon,"13.522,03","12057,87",Corsair,2025-05-07,24,Disponível,Cartão de Crédito,3.2,1
14,Notebooks,Acer Aspire 5,"2.581,49","2028,26",Acer,2024-05-24,77,Disponível,Transferência Bancária,4.9,1
15,Celulares,Motorola G60,"12.195,34","10569,37",Motorola,2024-12-04,1,Em Trânsito,Boleto,4.6,2
16,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-07-27,62,Esgotado,Cartão de Crédito,4.6,2
17,Notebooks,MacBook Pro M2,154.46,"105,62",Apple,2024-01-05,83,Esgotado,Cartão de Crédito,3.8,2
18,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-01-28,66,Esgotado,Cartão de Crédito,3.5,2
19,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2025-12-22,40,Esgotado,Boleto,3.6,2
20,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2024-10-30,9,Esgotado,Cartão de Crédito,3.0,1
21,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2024-02-01,1,Em Trânsito,Boleto,4.8,1
22,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-08-12,82,Disponível,Boleto,4.0,2
23,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-03-02,73,Esgotado,Cartão de Crédito,4.3,2
24,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2025-01-01,86,Disponível,Transferência Bancária,3.7,1
25,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2025-07-16,90,Esgotado,Cartão de Crédito,3.9,1
26,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2024-06-08,52,Em Trânsito,Boleto,3.8,1
27,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2024-05-23,19,Em Trânsito,Transferência Bancária,3.4,1
28,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2024-05-25,24,Disponível,Transferência Bancária,4.8,1
29,Teclado,Microsoft Ergonomic Keyboard,"5.439,00","3984,88",Microsoft,2024-12-15,6,Esgotado,Cartão de Crédito,3.7,2
30,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-11-13,77,Esgotado,Boleto,3.2,1
31,PC,HP Pavilion,"2.141,31","1662,44",HP,2024-12-19,35,Em Trânsito,Pix,4.9,2
32,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-09-29,55,Em Trânsito,Boleto,4.2,2
33,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-01-27,17,Esgotado,Pix,4.3,2
34,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2024-02-18,74,Disponível,Pix,4.0,2
35,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2025-09-04,99,Disponível,Cartão de Crédito,4.3,1
36,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-08-09,65,Esgotado,Transferência Bancária,3.7,1
37,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-11-27,100,Em Trânsito,Boleto,3.0,2
38,PC,HP Pavilion,"2.141,31","1662,44",HP,2025-12-11,90,Em Trânsito,Transferência Bancária,3.7,1
39,Notebooks,Dell Inspiron 15,"14.376,02","9354,73",Dell,2025-10-05,34,Esgotado,Cartão de Crédito,4.5,1
40,PC,Acer Nitro 50,"4.142,97","2552,62",Acer,2024-03-19,0,Disponível,Transferência Bancária,4.6,1
41,Celulares,Samsung Galaxy S21,"4.723,48","4103,0",Samsung,2024-05-28,65,Em Trânsito,Cartão de Crédito,3.5,2
42,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2025-07-03,28,Disponível,Boleto,4.0,2
43,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2024-12-10,79,Esgotado,Transferência Bancária,4.6,1
44,Notebooks,MacBook Air M1,"2.168,11","1527,65",Apple,2024-04-06,52,Em Trânsito,Pix,4.9,2
45,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2025-08-13,69,Esgotado,Cartão de Crédito,3.7,1
46,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2024-07-30,10,Disponível,Transferência Bancária,4.9,2
47,Fones de Ouvido,Sony WH-1000XM4,"11.247,13","6777,76",Sony,2024-01-12,62,Esgotado,Pix,4.2,1
48,Notebooks,Lenovo IdeaPad 3,"7.056,24","4962,63",Lenovo,2025-04-27,44,Disponível,Boleto,3.5,1
49,Teclado,Logitech K380,"14.039,46","10481,4",Logitech,2025-08-13,93,Esgotado,Transferência Bancária,3.7,2
50,Teclado,Razer BlackWidow,"6.655,86","4814,68",Razer,2024-11-07,40,Disponível,Boleto,3.5,1
51,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-01-14,69,Esgotado,Boleto,3.1,1
52,Mouse,Microsoft Bluetooth Mouse,"1.449,98","955,78",Microsoft,2025-06-01,10,Em Trânsito,Cartão de Crédito,3.9,2
53,Mouse,Logitech MX Master 3,"9.207,27","5668,43",Logitech,2025-11-03,15,Esgotado,Pix,4.1,1
54,Fones de Ouvido,Samsung Galaxy Buds,"5.593,51","3832,46",Samsung,2024-02-23,81,Em Trânsito,Boleto,4.9,2
55,Fones de Ouvido,JBL Tune 500BT,"10.077,31","8732,61",JBL,2025-12-31,40,Disponível,Transferência Bancária,3.1,1
56,PC,Dell XPS Desktop,"4.984,69","4268,42",Dell,2024-08-02,32,Em Trânsito,Cartão de Crédito,4.8,1
57,PC,Lenovo Legion Tower,"13.763,15","11515,23",Lenovo,2025-02-01,100,Esgotado,Transferência Bancária,4.6,2
